idx,obj,act,obj_idxs,act_idxs
257,broccoli,cut,30,59
258,broccoli,eat,30,60
259,broccoli,hold,30,11
260,broccoli,smell,30,63
261,broccoli,stir,30,72
262,broccoli,wash,30,8
263,broccoli,no_interaction,30,9
264,cake,blow,31,73
265,cake,carry,31,10
266,cake,cut,31,59
267,cake,eat,31,60
268,cake,hold,31,11
269,cake,light,31,74
270,cake,make,31,75
271,cake,pick_up,31,76
272,cake,no_interaction,31,9
273,carrot,carry,32,10
274,carrot,cook,32,77
275,carrot,cut,32,59
276,carrot,eat,32,60
277,carrot,hold,32,11
278,carrot,peel,32,61
279,carrot,smell,32,63
280,carrot,stir,32,72
281,carrot,wash,32,8
282,carrot,no_interaction,32,9
283,cell_phone,carry,33,10
284,cell_phone,hold,33,11
285,cell_phone,read,33,71
286,cell_phone,repair,33,16
287,cell_phone,talk_on,33,78
288,cell_phone,text_on,33,79
289,cell_phone,no_interaction,33,9
290,clock,check,34,80
291,clock,hold,34,11
292,clock,repair,34,16
293,clock,set,34,81
294,clock,no_interaction,34,9
295,cup,carry,35,10
296,cup,drink_with,35,30
297,cup,hold,35,11
298,cup,inspect,35,4
299,cup,pour,35,33
300,cup,sip,35,82
301,cup,smell,35,63
302,cup,fill,35,83
303,cup,wash,35,8
304,cup,no_interaction,35,9
305,donut,buy,36,58
306,donut,carry,36,10
307,donut,eat,36,60
308,donut,hold,36,11
309,donut,make,36,75
310,donut,pick_up,36,76
311,donut,smell,36,63
312,donut,no_interaction,36,9
313,elephant,feed,37,20
314,elephant,hold,37,11
315,elephant,hose,37,35
316,elephant,hug,37,37
317,elephant,kiss,37,38
318,elephant,hop_on,37,13
319,elephant,pet,37,21
320,elephant,ride,37,6
321,elephant,walk,37,18
322,elephant,wash,37,8
323,elephant,watch,37,23
324,elephant,no_interaction,37,9
325,fire_hydrant,hug,38,37
326,fire_hydrant,inspect,38,4
327,fire_hydrant,open,38,32
328,fire_hydrant,paint,38,84
329,fire_hydrant,no_interaction,38,9
330,fork,hold,39,11
331,fork,lift,39,85
332,fork,stick,39,86
333,fork,lick,39,31
334,fork,wash,39,8
335,fork,no_interaction,39,9
336,frisbee,block,40,87
337,frisbee,catch,40,88
338,frisbee,hold,40,11
339,frisbee,spin,40,89
340,frisbee,throw,40,68
341,frisbee,no_interaction,40,9
342,giraffe,feed,41,20
343,giraffe,kiss,41,38
344,giraffe,pet,41,21
345,giraffe,ride,41,6
346,giraffe,watch,41,23
347,giraffe,no_interaction,41,9
348,hair_drier,hold,42,11
349,hair_drier,operate,42,90
350,hair_drier,repair,42,16
351,hair_drier,no_interaction,42,9
352,handbag,carry,43,10
353,handbag,hold,43,11
354,handbag,inspect,43,4
355,handbag,no_interaction,43,9
356,hot_dog,carry,44,10
357,hot_dog,cook,44,77
358,hot_dog,cut,44,59
359,hot_dog,eat,44,60
360,hot_dog,hold,44,11
361,hot_dog,make,44,75
362,hot_dog,no_interaction,44,9
363,keyboard,carry,45,10
364,keyboard,clean,45,44
365,keyboard,hold,45,11
366,keyboard,type_on,45,91
367,keyboard,no_interaction,45,9
368,kite,assemble,46,92
369,kite,carry,46,10
370,kite,fly,46,3
371,kite,hold,46,11
372,kite,inspect,46,4
373,kite,launch,46,25
374,kite,pull,46,93
375,kite,no_interaction,46,9
376,knife,cut_with,47,94
377,knife,hold,47,11
378,knife,stick,47,86
379,knife,wash,47,8
380,knife,wield,47,69
381,knife,lick,47,31
382,knife,no_interaction,47,9
383,laptop,hold,48,11
384,laptop,open,48,32
385,laptop,read,48,71
386,laptop,repair,48,16
387,laptop,type_on,48,91
388,laptop,no_interaction,48,9
389,microwave,clean,49,44
390,microwave,open,49,32
391,microwave,operate,49,90
392,microwave,no_interaction,49,9
393,mouse,control,50,57
394,mouse,hold,50,11
395,mouse,repair,50,16
396,mouse,no_interaction,50,9
397,orange,buy,51,58
398,orange,cut,51,59
399,orange,eat,51,60
400,orange,hold,51,11
401,orange,inspect,51,4
402,orange,peel,51,61
403,orange,pick,51,62
404,orange,squeeze,51,95
405,orange,wash,51,8
406,orange,no_interaction,51,9
407,oven,clean,52,44
408,oven,hold,52,11
409,oven,inspect,52,4
410,oven,open,52,32
411,oven,repair,52,16
412,oven,operate,52,90
413,oven,no_interaction,52,9
414,parking_meter,check,53,80
415,parking_meter,pay,53,96
416,parking_meter,repair,53,16
417,parking_meter,no_interaction,53,9
418,pizza,buy,54,58
419,pizza,carry,54,10
420,pizza,cook,54,77
421,pizza,cut,54,59
422,pizza,eat,54,60
423,pizza,hold,54,11
424,pizza,make,54,75
425,pizza,pick_up,54,76
426,pizza,slide,54,97
427,pizza,smell,54,63
428,pizza,no_interaction,54,9
429,refrigerator,clean,55,44
430,refrigerator,hold,55,11
431,refrigerator,move,55,98
432,refrigerator,open,55,32
433,refrigerator,no_interaction,55,9
434,remote,hold,56,11
435,remote,point,56,99
436,remote,swing,56,67
437,remote,no_interaction,56,9
438,sandwich,carry,57,10
439,sandwich,cook,57,77
440,sandwich,cut,57,59
441,sandwich,eat,57,60
442,sandwich,hold,57,11
443,sandwich,make,57,75
444,sandwich,no_interaction,57,9
445,scissors,cut_with,58,94
446,scissors,hold,58,11
447,scissors,open,58,32
448,scissors,no_interaction,58,9
449,sink,clean,59,44
450,sink,repair,59,16
451,sink,wash,59,8
452,sink,no_interaction,59,9
453,skateboard,carry,60,10
454,skateboard,flip,60,100
455,skateboard,grind,60,101
456,skateboard,hold,60,11
457,skateboard,jump,60,12
458,skateboard,pick_up,60,76
459,skateboard,ride,60,6
460,skateboard,sit_on,60,7
461,skateboard,stand_on,60,28
462,skateboard,no_interaction,60,9
463,skis,adjust,61,102
464,skis,carry,61,10
465,skis,hold,61,11
466,skis,inspect,61,4
467,skis,jump,61,12
468,skis,pick_up,61,76
469,skis,repair,61,16
470,skis,ride,61,6
471,skis,stand_on,61,28
472,skis,wear,61,64
473,skis,no_interaction,61,9
474,snowboard,adjust,62,102
475,snowboard,carry,62,10
476,snowboard,grind,62,101
477,snowboard,hold,62,11
478,snowboard,jump,62,12
479,snowboard,ride,62,6
480,snowboard,stand_on,62,28
481,snowboard,wear,62,64
482,snowboard,no_interaction,62,9
483,spoon,hold,63,11
484,spoon,lick,63,31
485,spoon,wash,63,8
486,spoon,sip,63,82
487,spoon,no_interaction,63,9
488,sports_ball,block,64,87
489,sports_ball,carry,64,10
490,sports_ball,catch,64,88
491,sports_ball,dribble,64,103
492,sports_ball,hit,64,104
493,sports_ball,hold,64,11
494,sports_ball,inspect,64,4
495,sports_ball,kick,64,105
496,sports_ball,pick_up,64,76
497,sports_ball,serve,64,106
498,sports_ball,sign,64,66
499,sports_ball,spin,64,89
500,sports_ball,throw,64,68
501,sports_ball,no_interaction,64,9
502,stop_sign,hold,65,11
503,stop_sign,stand_under,65,107
504,stop_sign,stop_at,65,108
505,stop_sign,no_interaction,65,9
506,suitcase,carry,66,10
507,suitcase,drag,66,109
508,suitcase,hold,66,11
509,suitcase,hug,66,37
510,suitcase,load,66,5
511,suitcase,open,66,32
512,suitcase,pack,66,110
513,suitcase,pick_up,66,76
514,suitcase,zip,66,111
515,suitcase,no_interaction,66,9
516,surfboard,carry,67,10
517,surfboard,drag,67,109
518,surfboard,hold,67,11
519,surfboard,inspect,67,4
520,surfboard,jump,67,12
521,surfboard,lie_on,67,40
522,surfboard,load,67,5
523,surfboard,ride,67,6
524,surfboard,stand_on,67,28
525,surfboard,sit_on,67,7
526,surfboard,wash,67,8
527,surfboard,no_interaction,67,9
528,teddy_bear,carry,68,10
529,teddy_bear,hold,68,11
530,teddy_bear,hug,68,37
531,teddy_bear,kiss,68,38
532,teddy_bear,no_interaction,68,9
533,tennis_racket,carry,69,10
534,tennis_racket,hold,69,11
535,tennis_racket,inspect,69,4
536,tennis_racket,swing,69,67
537,tennis_racket,no_interaction,69,9
538,tie,adjust,70,102
539,tie,cut,70,59
540,tie,hold,70,11
541,tie,inspect,70,4
542,tie,pull,70,93
543,tie,tie,70,29
544,tie,wear,70,64
545,tie,no_interaction,70,9
546,toaster,hold,71,11
547,toaster,operate,71,90
548,toaster,repair,71,16
549,toaster,no_interaction,71,9
550,toilet,clean,72,44
551,toilet,flush,72,112
552,toilet,open,72,32
553,toilet,repair,72,16
554,toilet,sit_on,72,7
555,toilet,stand_on,72,28
556,toilet,wash,72,8
557,toilet,no_interaction,72,9
558,toothbrush,brush_with,73,113
559,toothbrush,hold,73,11
560,toothbrush,wash,73,8
561,toothbrush,no_interaction,73,9
562,traffic_light,install,74,114
563,traffic_light,repair,74,16
564,traffic_light,stand_under,74,107
565,traffic_light,stop_at,74,108
566,traffic_light,no_interaction,74,9
567,truck,direct,75,1
568,truck,drive,75,24
569,truck,inspect,75,4
570,truck,load,75,5
571,truck,repair,75,16
572,truck,ride,75,6
573,truck,sit_on,75,7
574,truck,wash,75,8
575,truck,no_interaction,75,9
576,umbrella,carry,76,10
577,umbrella,hold,76,11
578,umbrella,lose,76,115
579,umbrella,open,76,32
580,umbrella,repair,76,16
581,umbrella,set,76,81
582,umbrella,stand_under,76,107
583,umbrella,no_interaction,76,9
584,vase,hold,77,11
585,vase,make,77,75
586,vase,paint,77,84
587,vase,no_interaction,77,9
588,wine_glass,fill,78,83
589,wine_glass,hold,78,11
590,wine_glass,sip,78,82
591,wine_glass,toast,78,116
592,wine_glass,lick,78,31
593,wine_glass,wash,78,8
594,wine_glass,no_interaction,78,9
595,zebra,feed,79,20
596,zebra,hold,79,11
597,zebra,pet,79,21
598,zebra,watch,79,23
599,zebra,no_interaction,79,9
